category,K,weighted_score,task_type,min_fold_size,n_folds
Absorption,3,-0.6255339330480832,Regression,47,3
Absorption,4,-0.13738558399365158,Regression,47,4
Absorption,5,-0.23885223077726267,Regression,16,5
Absorption,6,0.008944175474795235,Regression,16,6
Absorption,7,-0.0030540395435368103,Regression,16,7
Absorption,8,-0.12080344137593303,Regression,16,8
Absorption,10,-0.015323084396369833,Regression,16,10
Distribution,3,0.7004926108374384,Classification,137,3
Distribution,4,0.7285714285714285,Classification,121,4
Distribution,5,0.7689655172413793,Classification,118,5
Distribution,6,0.783743842364532,Classification,113,6
Distribution,7,0.7891625615763547,Classification,114,7
Distribution,8,0.776847290640394,Classification,22,8
Distribution,10,0.7945812807881774,Classification,4,10
Metabolism,3,0.734948726430698,Classification,1034,3
Metabolism,4,0.7583526298379094,Classification,974,4
Metabolism,5,0.7579391333112802,Classification,155,5
Metabolism,6,0.7551273569302018,Classification,157,6
Metabolism,7,0.7623221964935495,Classification,155,7
Metabolism,8,0.750496195831955,Classification,155,8
Metabolism,10,0.7510750909692359,Classification,120,10
Excretion,3,-0.10009324479879038,Regression,10,3
Excretion,4,-0.35677219446445235,Regression,9,4
Excretion,5,-0.13400851296731658,Regression,10,5
Excretion,6,-0.22327388098379977,Regression,9,6
Excretion,7,-0.27063224180891365,Regression,9,7
Excretion,8,-0.15651518125222538,Regression,4,8
Excretion,10,-0.196827093373914,Regression,4,10
Toxicity,3,0.716030534351145,Classification,14,3
Toxicity,4,0.7297709923664122,Classification,13,4
Toxicity,5,0.766412213740458,Classification,13,5
Toxicity,6,0.76793893129771,Classification,13,6
Toxicity,7,0.7648854961832061,Classification,13,7
Toxicity,8,0.7648854961832061,Classification,13,8
Toxicity,10,0.7694656488549618,Classification,13,10
