category,K,mean_score,std_score,mean_min_fold,min_min_fold,task_type
Absorption,3,-0.6255339330480832,0.0,47.0,47,Regression
Absorption,4,-0.13738558399365158,0.0,47.0,47,Regression
Absorption,5,-0.19888851256290627,0.045922677430407066,16.0,16,Regression
Absorption,6,-0.008992766130519528,0.035382744469716995,22.2,16,Regression
Absorption,7,-0.022466823242985733,0.039411924514141196,16.0,16,Regression
Absorption,8,-0.16749459649341564,0.02610986166134503,16.0,16,Regression
Absorption,10,-0.016771440164397224,0.025498381056843038,16.0,16,Regression
Distribution,3,0.709064039408867,0.00627571513465661,132.8,131,Classification
Distribution,4,0.7324137931034482,0.0035075828805749484,120.4,120,Classification
Distribution,5,0.7666995073891625,0.004796319781138138,118.0,118,Classification
Distribution,6,0.7810837438423646,0.009233004282189722,117.2,113,Classification
Distribution,7,0.7719211822660099,0.009815201401562218,61.0,46,Classification
Distribution,8,0.7779310344827586,0.01292293905637339,33.8,11,Classification
Distribution,10,0.7819704433497537,0.008698452926069362,21.8,4,Classification
Excretion,3,-0.10975924839966514,0.049938086238773514,9.8,9,Regression
Excretion,4,-0.26201728602458213,0.09141067547047384,9.6,9,Regression
Excretion,5,-0.1900701488896315,0.03466371644126983,9.6,9,Regression
Excretion,6,-0.21860316505108054,0.04547111368263115,9.2,9,Regression
Excretion,7,-0.2360428833016107,0.05336058487751647,9.4,9,Regression
Excretion,8,-0.18073256711137825,0.048617248702205934,6.0,4,Regression
Excretion,10,-0.28169981916759845,0.21283441232946573,4.0,4,Regression
Metabolism,3,0.7416804498842209,0.006419618471986452,1034.0,1034,Classification
Metabolism,4,0.7562024478994377,0.008185769240317522,974.2,973,Classification
Metabolism,5,0.7565497849818061,0.0012682957004751085,155.0,155,Classification
Metabolism,6,0.7526959973536222,0.004733984471054828,155.8,155,Classification
Metabolism,7,0.7620410188554416,0.001779092531859095,155.0,155,Classification
Metabolism,8,0.7521005623552762,0.002239456876530291,155.0,155,Classification
Metabolism,10,0.7564670856764802,0.006423825247402897,127.0,120,Classification
Toxicity,3,0.7105343511450382,0.010610412429858959,14.0,14,Classification
Toxicity,4,0.7108396946564886,0.0423316685816754,13.2,13,Classification
Toxicity,5,0.7749618320610686,0.010881544843484286,13.0,13,Classification
Toxicity,6,0.7468702290076336,0.01194357692556212,13.0,13,Classification
Toxicity,7,0.7532824427480916,0.011556757781847688,13.0,13,Classification
Toxicity,8,0.7548091603053435,0.009631639875167887,13.0,13,Classification
Toxicity,10,0.7609160305343512,0.016178884631131544,13.0,13,Classification
