descriptor,importance_share
NumHDonors,0.27584767
HeavyAtomMolWt,0.051062934
LabuteASA,0.046161205
NHOHCount,0.045144767
TPSA,0.03203834
SMR_VSA2,0.029693687
fr_Al_COO,0.018333096
Chi0,0.016123343
VSA_EState3,0.011826033
MinAbsPartialCharge,0.011229098
VSA_EState8,0.010939172
NumAtomStereoCenters,0.010774871
NumSaturatedCarbocycles,0.010387657
PEOE_VSA14,0.009470364
MolWt,0.009021875
Chi1v,0.008063711
fr_Ar_NH,0.0076404875
Chi0v,0.0075835036
Kappa2,0.007478765
MolLogP,0.006658188
fr_Al_OH,0.006492596
NumHeterocycles,0.006431655
fr_ArN,0.0059512397
Chi1n,0.0057745515
BCUT2D_CHGHI,0.005665603
SMR_VSA7,0.0053678765
fr_amidine,0.0053671566
EState_VSA8,0.005294365
SMR_VSA9,0.005232004
fr_aniline,0.0051408904
SMR_VSA3,0.0051086945
BalabanJ,0.005078031
PEOE_VSA13,0.005002517
NumSaturatedHeterocycles,0.0047534467
MolMR,0.0046932893
Kappa1,0.004632402
SlogP_VSA3,0.004485103
MinPartialCharge,0.0044544735
SlogP_VSA1,0.0044289804
fr_allylic_oxid,0.004418439
HallKierAlpha,0.0043424563
Phi,0.0042674504
fr_tetrazole,0.0041684457
PEOE_VSA6,0.004091365
Chi4n,0.0040163067
PEOE_VSA10,0.0040011355
RingCount,0.003958917
SMR_VSA10,0.003910371
SlogP_VSA8,0.003804198
PEOE_VSA3,0.003803031
SlogP_VSA2,0.0037798868
NumHeteroatoms,0.0037626065
EState_VSA7,0.0037613388
VSA_EState4,0.0035741865
BCUT2D_MRHI,0.0035719282
AvgIpc,0.003567369
EState_VSA1,0.0033780397
VSA_EState7,0.0033369355
Chi2v,0.003333176
SlogP_VSA10,0.0033123181
PEOE_VSA7,0.003284442
fr_pyridine,0.0032342647
Chi4v,0.003064671
PEOE_VSA8,0.0029954338
SPS,0.002985164
PEOE_VSA1,0.0029142038
EState_VSA3,0.0028772994
SMR_VSA5,0.00284629
Chi3v,0.0027981834
BCUT2D_MRLOW,0.0027952343
BCUT2D_LOGPHI,0.0027436868
VSA_EState1,0.0027375026
VSA_EState6,0.0026846286
EState_VSA9,0.002667705
FractionCSP3,0.002653335
EState_VSA2,0.0026233853
fr_bicyclic,0.002561242
VSA_EState2,0.0024894993
NumAromaticRings,0.0024168605
SlogP_VSA6,0.0024099743
fr_COO,0.0023024506
SlogP_VSA5,0.002268813
BertzCT,0.0022628237
qed,0.002252094
Chi2n,0.0022308945
NumAliphaticRings,0.0022300226
Kappa3,0.002179936
Chi1,0.0021475095
EState_VSA4,0.0021420638
PEOE_VSA11,0.002131043
NOCount,0.002100519
SMR_VSA1,0.002096419
PEOE_VSA2,0.0020827847
fr_aryl_methyl,0.002012388
fr_halogen,0.0019805725
SMR_VSA4,0.001969359
FpDensityMorgan2,0.001953249
fr_NH0,0.0019508097
BCUT2D_CHGLO,0.0019051491
SMR_VSA6,0.0018455408
fr_Ar_COO,0.0018416509
fr_Al_OH_noTert,0.0017912103
NumAliphaticCarbocycles,0.0016937457
Chi0n,0.0016738393
fr_ketone,0.0016521588
PEOE_VSA9,0.0016424129
NumRotatableBonds,0.0016258846
BCUT2D_MWHI,0.0015859092
MinAbsEStateIndex,0.0015672746
MaxAbsEStateIndex,0.0015570088
BCUT2D_MWLOW,0.001529099
PEOE_VSA12,0.0015106827
VSA_EState9,0.0014812469
SlogP_VSA4,0.0014678573
BCUT2D_LOGPLOW,0.0014603005
VSA_EState5,0.0014528097
MaxAbsPartialCharge,0.0014390923
PEOE_VSA5,0.0014159487
EState_VSA6,0.0014079389
FpDensityMorgan3,0.001406329
EState_VSA10,0.0013824432
PEOE_VSA4,0.001378833
EState_VSA5,0.0013510652
fr_methoxy,0.0013233835
NumAliphaticHeterocycles,0.0013196059
MinEStateIndex,0.0013151236
MaxPartialCharge,0.0012720613
fr_phenol,0.0012668429
fr_NH2,0.0012374455
fr_sulfonamd,0.0011939172
Chi3n,0.0011868933
fr_Ar_N,0.0011766128
FpDensityMorgan1,0.0011730989
fr_para_hydroxylation,0.0011358755
VSA_EState10,0.0010870367
Ipc,0.0010861155
NumAromaticHeterocycles,0.0010061788
fr_piperdine,0.0010025484
fr_epoxide,0.0009604928
fr_unbrch_alkane,0.0009427167
fr_NH1,0.00093625224
NumHAcceptors,0.0009354188
fr_morpholine,0.00092031684
SlogP_VSA12,0.00089480134
NumSaturatedRings,0.0008918292
fr_dihydropyridine,0.00082212605
NumAmideBonds,0.0007563498
NumValenceElectrons,0.00069473323
fr_C_O_noCOO,0.00068557716
fr_C_O,0.0006520088
NumAromaticCarbocycles,0.0006374804
SlogP_VSA11,0.0006057945
fr_Ndealkylation2,0.0005765859
fr_piperzine,0.00053332886
NumUnspecifiedAtomStereoCenters,0.00052215776
fr_urea,0.000521227
fr_priamide,0.00047565237
fr_Ndealkylation1,0.00043607986
ExactMolWt,0.00040908
fr_imidazole,0.00039761484
fr_N_O,0.00038820997
fr_Ar_OH,0.00033999034
fr_ether,0.00024446106
fr_Imine,0.00021601192
fr_ketone_Topliss,0.00012757948
NumBridgeheadAtoms,0.00010241386
fr_nitrile,6.6201275e-05
fr_C_S,5.8624777e-05
fr_thiophene,5.697612e-05
fr_oxime,4.481324e-05
NumSpiroAtoms,2.474463e-05
EState_VSA11,1.7081959e-05
fr_prisulfonamd,1.4651273e-05
fr_ester,1.7627806e-06
SlogP_VSA7,0.0
MaxEStateIndex,0.0
HeavyAtomCount,0.0
fr_COO2,0.0
fr_HOCCN,0.0
fr_hdrzone,0.0
fr_guanido,0.0
fr_hdrzine,0.0
fr_furan,0.0
fr_benzodiazepine,0.0
fr_barbitur,0.0
fr_benzene,0.0
fr_alkyl_carbamate,0.0
fr_aldehyde,0.0
fr_SH,0.0
fr_Nhpyrrole,0.0
fr_amide,0.0
fr_alkyl_halide,0.0
fr_azide,0.0
fr_azo,0.0
fr_imide,0.0
fr_phos_acid,0.0
fr_nitroso,0.0
fr_oxazole,0.0
fr_nitro_arom_nonortho,0.0
fr_lactam,0.0
fr_nitro,0.0
fr_nitro_arom,0.0
fr_lactone,0.0
fr_phenol_noOrthoHbond,0.0
fr_phos_ester,0.0
fr_quatN,0.0
fr_sulfide,0.0
fr_sulfone,0.0
fr_term_acetylene,0.0
fr_thiazole,0.0
