category,radius,metric_a,metric_b,metric_a_label,metric_b_label
Absorption,1,0.6213440658001675,0.4634114567737563,R2,RMSE
Absorption,2,0.6635387723890115,0.44382164514445427,R2,RMSE
Absorption,3,0.6319702773363582,0.46008671016928676,R2,RMSE
Absorption,4,0.6446001112437645,0.45306311187368375,R2,RMSE
Absorption,5,0.6486949797333553,0.45007886680636594,R2,RMSE
Distribution,1,0.9089980761031883,0.9626683012479128,ROC-AUC,AUPRC
Distribution,2,0.9092816573516949,0.9653987768603983,ROC-AUC,AUPRC
Distribution,3,0.9050053290105196,0.9630248443735694,ROC-AUC,AUPRC
Distribution,4,0.9066464313568238,0.9643807441608954,ROC-AUC,AUPRC
Distribution,5,0.9113302167937876,0.9652985991062917,ROC-AUC,AUPRC
Metabolism,1,0.8747447675316584,0.7690992193175555,ROC-AUC,AUPRC
Metabolism,2,0.872261839188705,0.7691134771461966,ROC-AUC,AUPRC
Metabolism,3,0.8757208621366086,0.7727469505739964,ROC-AUC,AUPRC
Metabolism,4,0.8737578442296016,0.7677160614495783,ROC-AUC,AUPRC
Metabolism,5,0.8738325624047495,0.7665615777307494,ROC-AUC,AUPRC
Excretion,1,0.0035620177472239292,49.63282129334353,R2,RMSE
Excretion,2,0.007907333183954708,49.50840582673181,R2,RMSE
Excretion,3,0.027150108085232806,49.032830720888086,R2,RMSE
Excretion,4,0.012731795944442705,49.43349621711495,R2,RMSE
Excretion,5,-0.009790514622935117,49.93813876014199,R2,RMSE
Toxicity,1,0.8399841504598764,0.8960700427786557,ROC-AUC,AUPRC
Toxicity,2,0.8328986881776246,0.8902664371342277,ROC-AUC,AUPRC
Toxicity,3,0.8407358555779658,0.9051479507997576,ROC-AUC,AUPRC
Toxicity,4,0.8361884062709951,0.8992305248950201,ROC-AUC,AUPRC
Toxicity,5,0.8452395051925581,0.9168081946674352,ROC-AUC,AUPRC
